Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
BinaryTree,Rectangle,1736,5.59,80.49,0.75,68.48,6.58,80.49,5.33,60.23,7.02,76.36
HuntAndKill,Rectangle,2024,3.93,53.72,0.3,25.45,4.64,53.72,2.14,25.64,4.12,42.71
Wilsons,Rectangle,3480,3.98,49.34,0.39,32.21,4.51,49.34,2.7,32.58,3.92,41.71
BacktrackingGenerator,Rectangle,3480,7.57,99.87,0.83,63.6,11.16,99.87,5,43.65,13.24,97.12
AldousBroder,Rectangle,1944,2.89,42.34,0.24,20.2,3.11,42.34,1.88,22.2,3.22,37.96
Ellers,Rectangle,1008,5.9,86.12,0.48,40.59,7.74,86.12,3.59,43.15,7.74,72.73
AldousBroder,Rectangle,3744,6.54,91.37,0.84,81.36,7.23,91.37,7.82,89.62,8.28,90.62
Prims,Rectangle,3800,4.45,61.35,0.46,39.84,6.11,61.35,5.06,54.6,5.94,61.23
Ellers,Rectangle,1800,4.53,63.23,0.66,59.6,4.97,63.23,5.42,60.54,5.51,61.23
GrowingTree,Rectangle,3024,5.98,81.49,0.35,30.96,7.1,81.49,6,62.1,6.6,70.23
HuntAndKill,Rectangle,2024,6.15,85.74,0.81,77.36,7.22,85.74,7.16,84.62,7.92,84.99
Ellers,Rectangle,2368,4.49,65.17,0.88,76.11,5.33,65.35,3.12,26.7,5.54,57.72
Kruskal,Rectangle,1760,4.33,62.35,0.6,53.97,4.94,62.35,5.07,56.6,5.35,58.85
BacktrackingGenerator,Rectangle,1012,5.91,74.36,0.82,61.73,6.71,74.36,6.5,72.73,6.56,71.48
Sidewinder,Rectangle,2480,6.23,86.37,0.72,60.98,6.92,86.37,5.47,63.48,7.14,76.99
Ellers,Rectangle,1320,5.64,79.86,0.77,73.11,6.49,79.86,6.89,79.05,7.48,79.36
HuntAndKill,Rectangle,3168,7.38,84.24,1,55.85,10.11,84.24,4.33,36.4,8.41,83.49
Ellers,Rectangle,2640,3.39,50.34,0.38,35.21,4.73,50.34,3.07,35.58,4.47,48.47
AldousBroder,Rectangle,3024,6.91,73.86,0.46,30.83,9.81,73.86,6.03,50.84,9.35,68.23
HuntAndKill,Rectangle,4032,6.37,89.74,0.61,54.6,9.13,89.74,2.77,31.71,8.49,78.11
HuntAndKill,Rectangle,3276,5.26,79.74,0.6,54.22,6.22,79.74,5.74,55.28,6.96,76.11
AldousBroder,Rectangle,1428,5.79,85.74,0.64,58.97,7,85.74,7.27,81.8,8.28,85.74
CellularAutomaton,Rectangle,4216,5.97,84.12,0.73,65.35,6.67,84.12,4.03,45.15,7.12,81.74
AldousBroder,Rectangle,3432,6.81,95.87,0.47,42.96,8.37,95.87,4.34,45.15,7.53,78.86
AldousBroder,Rectangle,3960,8.93,91.49,0.57,42.71,10.81,91.49,5.59,45.15,8.31,88.74
Ellers,Rectangle,792,6.65,87.12,0.56,49.97,7.54,87.12,4.54,48.41,7.83,76.36
HuntAndKill,Rectangle,1872,5.54,78.24,0.38,34.58,6.55,78.24,3.53,34.71,7.29,76.11
Ellers,Rectangle,4608,3.32,49.84,0.29,25.95,4.05,49.84,2.23,26.7,4.38,47.59
BinaryTree,Rectangle,1944,4.81,60.85,0.59,46.97,5.7,60.85,4.77,49.78,6.02,57.22
HuntAndKill,Rectangle,3744,6.4,93,0.56,42.84,7.62,93,3.82,45.84,8.03,86.62
Division,Rectangle,2200,2.94,43.34,0.33,24.83,4.2,43.34,2.35,26.39,3.15,36.84
CellularAutomaton,Rectangle,5328,6.14,91.37,0.6,55.97,7.75,91.37,5.69,63.79,7.78,89.12
Ellers,Rectangle,3132,7.39,95.25,0.5,44.72,7.58,95.25,4.51,47.9,8.04,84.12
Prims,Rectangle,1408,8.63,95.37,1.38,89.62,9.19,95.37,8.51,95.37,8.58,95.37
Sidewinder,Rectangle,1020,5.19,68.36,0.54,47.09,5.92,68.36,4.5,48.66,6.02,61.85
Prims,Rectangle,1020,4.62,64.98,0.56,51.34,5.28,64.98,5.83,63.1,6.05,64.85
AldousBroder,Rectangle,2376,4.75,69.23,0.48,43.59,5.66,69.23,5.7,63.1,6.08,67.48
CellularAutomaton,Rectangle,2592,4.4,62.23,0.57,52.22,5.13,62.23,5.39,57.22,5.83,62.1
Division,Rectangle,4200,4.72,65.29,0.41,38.21,5.16,65.35,3.19,38.77,3.96,40.96
Division,Rectangle,6240,5.8,82.61,0.49,42.84,6.73,82.61,7.18,82.36,7.61,82.11
Division,Rectangle,960,6.62,80.43,0.73,66.23,6.92,80.49,6.22,68.61,7,75.48
BinaryTree,Square,400,6.14,83.11,0.84,74.73,6.97,83.11,6.73,74.73,7.7,82.86
GrowingTree,Rectangle,1792,7.38,99.5,0.7,64.6,7.87,99.5,8.82,99.5,9.57,99.5
GrowingTree,Rectangle,1344,5.82,80.61,0.33,29.21,6.97,80.61,2.67,30.46,7.55,78.74
HuntAndKill,Rectangle,4680,6.53,89.87,0.65,61.98,7.62,89.87,4.61,51.41,7.68,84.24
HuntAndKill,Rectangle,2448,5.54,80.74,0.68,61.1,7.11,80.74,7.06,80.49,7.55,79.61
TrivialMaze,Rectangle,2432,4.92,67.73,0.41,36.71,5.63,67.73,3.62,38.65,4.99,56.85
Division,Rectangle,2432,4.92,63.48,0.56,49.09,5.55,63.48,4.24,46.72,5.06,55.1
Wilsons,Rectangle,1512,6.13,87.49,0.53,49.72,7.26,87.49,5.45,57.85,7.5,83.24
Kruskal,Rectangle,1624,6.56,92.37,0.41,36.46,7.48,92.37,3.78,40.78,7.99,85.12
Kruskal,Rectangle,1188,7.35,99.87,0.36,33.08,8.25,99.87,3.43,36.4,8.96,99.12
AldousBroder,Rectangle,3312,5.36,74.05,0.72,68.48,6.3,74.11,6.92,73.92,7.09,72.86
TrivialMaze,Rectangle,2700,2.78,41.21,0.42,37.59,3.15,41.21,2.7,31.89,4.09,40.96
GrowingTree,Rectangle,2800,6.87,92.37,0.95,85.74,7.7,92.37,7.63,88.24,9.17,92.25
Wilsons,Rectangle,1680,2.19,32.71,0.16,13.32,2.46,32.71,1.13,13.32,2.22,26.45
AldousBroder,Rectangle,1480,5.95,84.37,0.76,67.23,7.35,84.37,7.43,80.93,7.32,82.11
GrowingTree,Rectangle,2240,6.31,89.37,0.31,28.71,7.12,89.37,2.51,29.77,7.75,82.24
AldousBroder,Rectangle,5120,4.56,65.85,0.31,27.58,6.9,65.85,2.69,30.96,6.54,65.73
BacktrackingGenerator,Rectangle,3360,6.8,96.62,0.34,30.58,7.8,96.62,2.73,32.58,8.43,93.25
GrowingTree,Rectangle,1392,5.53,74.61,0.32,27.7,6.21,74.61,4.08,45.22,6.2,66.73
CellularAutomaton,Square,2704,3.81,48.72,0.41,31.71,5.11,48.72,2.68,31.83,4.01,46.84
Prims,Rectangle,720,5.94,86.49,0.44,40.34,7.11,86.49,4.18,44.59,7.45,80.61
BinaryTree,Rectangle,1352,6.92,97.12,0.56,53.1,7.99,97.12,6.42,73.67,8.78,92.25
BinaryTree,Rectangle,2448,4.84,69.23,0.35,29.46,6.82,69.23,3.5,30.27,6.44,59.72
HuntAndKill,Rectangle,1760,4.66,62.73,0.54,46.09,5.13,62.73,5.06,54.1,6.22,58.85
TrivialMaze,Rectangle,2552,5.79,78.99,0.46,41.46,6.91,78.99,3.94,42.71,7.1,77.86
HuntAndKill,Rectangle,2028,6.63,95.75,0.73,70.98,7.73,95.75,8.39,95.25,9.04,95.25
CellularAutomaton,Rectangle,3584,7,94.62,0.54,47.09,8.52,94.62,4.26,44.4,8.1,84.87
GrowingTree,Rectangle,1760,4.44,63.48,0.26,22.33,4.96,63.48,1.91,22.89,5.58,61.98
Wilsons,Rectangle,2200,6.25,89.74,0.71,64.6,7.35,89.99,5.62,64.85,7.81,76.74
GrowingTree,Rectangle,2904,6.93,100,0.77,73.36,7.97,100,8.16,94.5,9.23,100
AldousBroder,Rectangle,1748,6.42,92.5,0.6,55.97,7.49,92.5,5.66,63.04,9.21,91.99
Wilsons,Rectangle,3024,7.38,100,0.68,60.48,8.47,100,14.94,73.55,8.85,99.5
GrowingTree,Rectangle,1000,4.4,63.35,0.51,44.59,5.02,63.35,4.34,44.78,5.95,59.6
CellularAutomaton,Rectangle,5624,5.15,71.61,0.63,56.47,5.74,71.61,5.27,56.79,6.08,64.73
Sidewinder,Rectangle,3120,3.97,58.47,0.22,19.82,5.94,58.47,1.83,19.82,5.47,51.47
Sidewinder,Rectangle,5016,6.39,90.87,0.77,74.11,7.37,90.87,7.37,82.43,8.26,89.62
Kruskal,Rectangle,1248,5.94,79.36,0.74,64.48,7.09,79.36,6.93,66.6,7.51,78.24
Ellers,Rectangle,1408,6.97,92.37,0.58,52.1,7.78,92.37,5.22,59.22,8.26,87.62
Ellers,Rectangle,1100,4.69,64.85,0.56,52.1,6.3,64.85,5.94,64.6,6.37,64.85
GrowingTree,Rectangle,1920,7.84,99.75,0.76,71.48,7.89,99.75,5.4,61.41,8.71,98.87
Sidewinder,Rectangle,936,4.31,56.79,0.8,74.11,5.21,56.85,6.67,74.8,4.91,50.22
AldousBroder,Rectangle,3360,4.64,65.48,0.47,41.96,5.18,65.48,4,45.65,5.97,65.23
Ellers,Rectangle,2604,5.57,77.74,0.55,49.84,6.99,77.74,4.66,51.97,6.97,73.98
Ellers,Rectangle,3780,6.34,91.37,0.73,65.48,7.86,91.37,6.24,69.61,8.17,87.12
BacktrackingGenerator,Rectangle,748,5.37,73.23,0.41,36.84,6.89,73.23,3.58,36.96,7.08,71.48
Kruskal,Rectangle,1140,5.07,69.11,0.36,33.33,5.75,69.36,7.43,84.62,5,52.72
GrowingTree,Rectangle,1664,3.71,56.22,0.44,36.59,4.78,56.22,3.83,36.84,4.65,49.84
GrowingTree,Rectangle,2808,5.88,80.24,0.45,40.71,6.75,80.24,3.48,40.84,6.79,73.73
Ellers,Rectangle,1344,7.69,99.37,0.37,31.08,8.04,99.37,3.32,34.52,8.66,94.37
HuntAndKill,Rectangle,1440,4.41,60.1,0.27,24.2,4.73,60.1,2.16,25.39,5.27,55.22
Kruskal,Rectangle,1716,5.3,68.86,0.46,41.46,5.94,68.86,4.11,43.71,6.68,63.73
Prims,Rectangle,3680,7.04,99.5,0.74,68.36,8.18,99.5,5.64,63.23,8.78,98.12
Ellers,Rectangle,1984,4.32,57.72,0.29,24.83,4.64,57.72,4.98,50.72,4.69,51.34
CellularAutomaton,Rectangle,2800,4.57,62.35,0.36,32.96,5.06,62.35,3.52,42.34,5.65,59.72
BinaryTree,Rectangle,1776,5.3,72.61,0.61,55.47,5.83,72.61,5.66,58.41,6.05,66.6
BacktrackingGenerator,Rectangle,1280,4.6,63.73,0.55,49.84,5.34,63.73,5.1,53.72,6.21,62.35
HuntAndKill,Rectangle,1700,6.57,75.86,0.47,37.96,7.44,75.86,7.89,87.18,6.17,66.23
BinaryTree,Rectangle,1584,3.43,51.97,0.57,48.59,4.21,51.97,4.73,50.66,4.8,51.59
AldousBroder,Rectangle,3120,5.74,81.49,0.61,56.22,6.59,81.49,5.72,65.17,6.97,79.11
Wilsons,Rectangle,4032,5.8,79.74,0.81,70.11,6.94,79.74,6.28,70.11,7.08,75.36
Division,Rectangle,2652,6.69,84.74,0.67,57.97,7.27,84.74,3.77,40.34,7.32,77.11
Division,Rectangle,1360,2.9,43.34,0.3,26.83,3.27,43.34,2.37,27.14,3.28,36.34
Wilsons,Square,5776,5.3,73.86,0.23,19.45,6.31,73.86,1.68,19.45,5.82,58.97
TrivialMaze,Rectangle,1280,6.74,94.5,0.52,48.72,7.3,94.5,4.97,56.1,8.32,94.12
BinaryTree,Rectangle,1680,5.6,82.74,0.71,65.6,6.68,82.74,5.02,52.72,8.26,81.11
HuntAndKill,Rectangle,4212,5.84,85.43,0.67,59.72,6.91,85.49,4.87,57.6,6.39,73.48
BacktrackingGenerator,Rectangle,1700,5.99,84.62,0.73,67.48,7.58,84.62,6.07,72.23,7.01,78.36
GrowingTree,Rectangle,1920,3.26,45.22,0.37,30.71,3.4,45.22,3.02,30.77,3.23,38.84
TrivialMaze,Rectangle,2496,3.48,52.6,0.42,37.46,5.08,52.6,3.85,38.27,4.21,47.84
CellularAutomaton,Rectangle,1512,2.53,37.46,0.32,28.71,2.77,37.46,2.25,26.08,3.43,36.84
Division,Rectangle,800,5.81,83.74,0.71,64.85,6.76,83.74,6.7,72.11,8.06,81.11
Kruskal,Rectangle,2640,7.66,97.75,0.78,71.36,9.13,97.75,7.22,73.98,8.22,89.62
Prims,Rectangle,1288,5.72,74.11,0.58,52.1,7.01,74.11,2.16,24.58,6.57,68.61
Prims,Rectangle,2904,4.7,67.1,0.53,47.09,6.24,67.1,4.39,47.22,6.1,66.1
